k,n_classes,batch_size,n_trials,tau,cuda,alg,forward,mean,std
5,1000,256,50,1.0,True,sum,1,0.04373533725738525,0.00038608151443701727
5,1000,256,50,1.0,True,dac_md,1,0.022705965042114258,0.00024477178620851026
5,1000,256,50,None,True,lml,1,0.008128056526184082,0.0002291699930579922
5,1000,256,50,1.0,True,dac_ad,0,0.0373601770401001,0.0020649494850051935
5,1000,256,50,1.0,True,dac_md,0,0.013306150436401367,0.0009136584722284913
5,1000,256,50,None,True,lml,0,0.0010170936584472656,0.00015701679980562172
5,1000,256,50,1.0,False,sum,1,0.029465866088867188,0.0026496378387344545
5,1000,256,50,1.0,False,dac_md,1,0.01866565227508545,0.0002899192355486382
5,1000,256,50,None,False,lml,1,0.07100790977478028,0.004326612578256484
5,1000,256,50,1.0,False,dac_ad,0,0.039286413192749024,0.00368293828763261
5,1000,256,50,1.0,False,dac_md,0,0.37966415882110593,0.010059201047372127
5,1000,256,50,None,False,lml,0,0.008397274017333985,0.0016715565429901347
50,1000,256,50,1.0,True,sum,1,0.04351657390594482,0.00045356667224676864
50,1000,256,50,1.0,True,dac_md,1,1.124922833442688,0.00815710796625642
50,1000,256,50,None,True,lml,1,0.00816925048828125,0.00022464442481744644
50,1000,256,50,1.0,True,dac_ad,0,1.8269402885437012,0.02461782275513792
50,1000,256,50,1.0,True,dac_md,0,0.06116735458374024,0.00029023194631891695
50,1000,256,50,None,True,lml,0,0.0009397506713867187,0.00011130855245055733
50,1000,256,50,1.0,False,sum,1,0.09877227306365967,0.004497977999578166
50,1000,256,50,1.0,False,dac_md,1,0.44940327167510985,0.0012421108622133153
50,1000,256,50,None,False,lml,1,0.07086649894714356,0.004147770969240495
50,1000,256,50,1.0,False,dac_ad,0,0.8573088884353638,0.016502090015331712
50,1000,256,50,1.0,False,dac_md,0,2.7780599403381347,0.06519242419837094
50,1000,256,50,None,False,lml,0,0.009688916206359864,0.0015897593949478431
100,1000,256,50,1.0,True,sum,1,0.043121628761291504,0.0010531710247704388
100,1000,256,50,1.0,True,dac_md,1,3.476481833457947,0.03833458029264595
100,1000,256,50,None,True,lml,1,0.007882494926452637,0.0002839455057514543
100,1000,256,50,1.0,True,dac_ad,0,6.158351311683655,0.11368137877482788
100,1000,256,50,1.0,True,dac_md,0,0.11329142570495605,0.0028380257753337313
100,1000,256,50,None,True,lml,0,0.0009605741500854492,0.00012305680112716387
100,1000,256,50,1.0,False,sum,1,0.15338179111480713,0.005037401527796346
100,1000,256,50,1.0,False,dac_md,1,1.300129919052124,0.005099552169279335
100,1000,256,50,None,False,lml,1,0.0750338077545166,0.0047579530456084715
100,1000,256,50,1.0,False,dac_ad,0,2.616829695701599,0.06310035960372386
100,1000,256,50,1.0,False,dac_md,0,5.4587939786911015,0.021983632075878265
100,1000,256,50,None,False,lml,0,0.008812956809997559,0.0019812408435528647
5,10000,256,50,1.0,True,sum,1,0.4434450387954712,0.005816362982899374
5,10000,256,50,1.0,True,dac_md,1,0.030850915908813475,0.00040352526060003066
5,10000,256,50,None,True,lml,1,0.05903326988220215,0.001264839249554323
5,10000,256,50,1.0,True,dac_ad,0,0.05210768222808838,0.0006802435213107939
5,10000,256,50,1.0,True,dac_md,0,0.05546487331390381,0.00023552494368686216
5,10000,256,50,None,True,lml,0,0.008140969276428222,6.80127642166262e-05
5,10000,256,50,1.0,False,sum,1,0.3139751768112183,0.005758531197261934
5,10000,256,50,1.0,False,dac_md,1,0.14208714962005614,0.002828309950259656
5,10000,256,50,None,False,lml,1,1.0308868455886842,0.006532227039294884
5,10000,256,50,1.0,False,dac_ad,0,0.30238309383392337,0.008340086960996427
5,10000,256,50,1.0,False,dac_md,0,4.4485019063949585,0.06985742179046027
5,10000,256,50,None,False,lml,0,0.048712635040283205,0.0011937567133838802
50,10000,256,50,1.0,True,sum,1,0.4447093725204468,0.008986561794511365
50,10000,256,50,1.0,True,dac_md,1,1.6862221574783325,0.015468157022810238
50,10000,256,50,None,True,lml,1,0.05938147068023682,0.0016316557930528357
50,10000,256,50,1.0,True,dac_ad,0,2.666451940536499,0.03972871311836067
50,10000,256,50,1.0,True,dac_md,0,0.3565064287185669,0.0005844747795596891
50,10000,256,50,None,True,lml,0,0.008235311508178711,0.00010758680583945056
50,10000,256,50,1.0,False,sum,1,0.9746846294403076,0.006970765301141837
50,10000,256,50,1.0,False,dac_md,1,1.4053172826766969,0.0035280017035889543
50,10000,256,50,None,False,lml,1,1.037398657798767,0.0047361082772697715
50,10000,256,50,1.0,False,dac_ad,0,3.3098709917068483,0.038329472997918765
50,10000,256,50,1.0,False,dac_md,0,31.066651096343993,0.17530895179712486
50,10000,256,50,None,False,lml,0,0.04759523391723633,0.0016569686052047357
100,10000,256,50,1.0,True,sum,1,0.46824198246002197,0.007129548871294451
100,10000,256,50,1.0,True,dac_md,1,5.757044196128845,0.021064230369353162
